TOWN,TOWN_ID,VMT_TOTAL,VHT_TOTAL,VOC_TOTAL,NOX_TOTAL,CO_TOTAL,CO2_TOTAL
Acton,2,507310,15360,30,130,1240,203200
Arlington,10,535790,19360,30,130,1370,231860
Ashland,14,296580,9240,20,70,700,119540
Bedford,23,580460,18540,30,160,1490,244850
Bellingham,25,658990,17960,40,180,1660,262830
Belmont,26,392600,16470,30,100,1050,182660
Beverly,30,592220,17090,30,160,1440,236330
Bolton,34,675120,15830,40,200,1780,261910
Boston,35,9194540,534980,740,2740,26730,5131820
Boxborough,37,349090,7050,20,110,960,132050
Braintree,40,1275840,52390,80,330,3230,588790
Brookline,46,718640,41750,60,200,2110,398140
Burlington,48,1152120,34650,60,310,2880,472160
Cambridge,49,1209320,87160,110,370,3820,763160
Canton,50,1145210,40450,70,330,3100,512770
Carlisle,51,133880,4550,10,30,310,54010
Chelsea,57,395290,16910,30,100,1050,184050
Cohasset,65,100660,3120,10,30,220,39990
Concord,67,654970,26250,40,160,1630,289870
Danvers,71,978050,26490,50,260,2390,385240
Dedham,73,1095310,32100,60,290,2840,443670
Dover,78,219930,8210,10,50,520,93070
Essex,92,83910,2570,0,20,190,33580
Everett,93,316100,17010,20,90,890,168150
Foxborough,99,1067270,24230,50,290,2730,401200
Framingham,100,1999570,63260,110,520,5050,825020
Franklin,101,875910,22050,50,240,2240,339460
Gloucester,107,412830,11050,20,110,1040,161380
Hamilton,119,105210,2980,10,30,220,39900
Hingham,131,638860,23330,40,160,1520,276680
Holbrook,133,215270,8560,10,60,540,97580
Holliston,136,256980,8430,10,60,580,103800
Hopkinton,139,1259130,31950,70,350,3250,491070
Hudson,141,306960,9430,20,80,730,123760
Hull,142,83120,3030,10,20,190,36140
Ipswich,144,239770,7150,10,60,520,94870
Lexington,155,1765220,50200,90,450,4380,699390
Lincoln,157,443300,16090,20,100,1070,187980
Littleton,158,846640,19880,40,240,2150,322060
Lynn,163,700000,28070,40,180,1790,316690
Lynnfield,164,635830,19580,30,160,1580,259430
Malden,165,436080,21710,30,120,1200,219340
Manchester-By-The-Sea,166,189170,4080,10,50,500,70690
Marblehead,168,113880,3920,10,30,260,47880
Marlborough,170,1151140,31800,60,330,2930,462650
Marshfield,171,314330,9360,20,80,710,123710
Maynard,174,124280,3850,10,30,270,49860
Medfield,175,256320,8870,10,60,590,106660
Medford,176,1328190,60810,90,360,3580,647820
Medway,177,180580,5320,10,50,390,70280
Melrose,178,192080,7750,10,50,480,86230
Middleton,184,293040,9330,20,70,710,119430
Milford,185,876030,23230,50,250,2290,349230
Millis,187,194670,6370,10,50,440,78850
Milton,189,1100000,39820,60,270,2700,473210
Nahant,196,34420,1000,0,10,70,13320
Natick,198,959860,33570,60,250,2420,414330
Needham,199,1001810,33520,60,260,2450,420300
Newton,207,2040550,85290,130,530,5390,950640
Norfolk,208,196150,6280,10,50,440,77550
North Reading,213,202790,6610,10,50,460,81920
Norwell,219,598220,16370,30,150,1460,232890
Norwood,220,606000,19370,40,170,1520,256630
Peabody,229,1236920,39040,70,330,3090,514930
Quincy,243,1455560,56970,90,380,3590,648020
Randolph,244,726000,25320,40,190,1880,313040
Reading,246,601220,19530,30,160,1470,252850
Revere,248,760460,32980,50,200,2010,358870
Rockland,251,272750,9700,20,70,660,116370
Rockport,252,55900,1830,0,20,120,23130
Salem,258,465930,17770,30,120,1150,208910
Saugus,262,723310,23670,40,190,1820,304630
Scituate,264,194390,6310,10,50,430,77930
Sharon,266,962260,26270,50,260,2480,382600
Sherborn,269,235700,8490,10,50,550,98920
Somerville,274,856650,49530,70,250,2540,477600
Southborough,277,925270,23960,50,250,2390,361670
Stoneham,284,768840,25600,40,200,1920,323630
Stow,286,211520,7020,10,50,490,86620
Sudbury,288,460220,16070,30,110,1070,191170
Swampscott,291,142690,4150,10,30,310,56090
Topsfield,298,312390,7300,20,80,740,115160
Wakefield,305,783180,23570,40,210,1990,322370
Walpole,307,561220,17250,30,140,1320,225190
Waltham,308,1296870,47770,80,360,3380,578160
Watertown,314,358290,16710,30,100,970,177360
Wayland,315,512110,16740,30,130,1230,210250
Wellesley,317,767960,25160,40,200,1940,322270
Wenham,320,160370,4860,10,40,390,63660
Weston,333,1318300,43860,70,340,3350,554790
Westwood,335,566450,19420,30,150,1450,241920
Weymouth,336,930960,36900,60,250,2400,425660
Wilmington,342,1313090,36100,70,360,3380,523730
Winchester,344,321530,12660,20,80,790,143110
Winthrop,346,63370,4450,10,30,200,40200
Woburn,347,1416090,42520,80,380,3580,579910
Wrentham,350,692850,16820,40,190,1750,266200
