TOWN_ID,TOWN,VMT_SOV_AM,VMT_SOV_MD,VMT_SOV_PM,VMT_SOV_NT,VMT_HOV_AM,VMT_HOV_MD,VMT_HOV_PM,VMT_HOV_NT,VMT_TRK_AM,VMT_TRK_MD,VMT_TRK_PM,VMT_TRK_NT,VMT_TOTAL,VHT_SOV_AM,VHT_SOV_MD,VHT_SOV_PM,VHT_SOV_NT,VHT_HOV_AM,VHT_HOV_MD,VHT_HOV_PM,VHT_HOV_NT,VHT_TRK_AM,VHT_TRK_MD,VHT_TRK_PM,VHT_TRK_NT,VHT_TOTAL,VOC_SOV_AM,VOC_SOV_MD,VOC_SOV_PM,VOC_SOV_NT,VOC_HOV_AM,VOC_HOV_MD,VOC_HOV_PM,VOC_HOV_NT,VOC_TRK_AM,VOC_TRK_MD,VOC_TRK_PM,VOC_TRK_NT,VOC_TOTAL,NOX_SOV_AM,NOX_SOV_MD,NOX_SOV_PM,NOX_SOV_NT,NOX_HOV_AM,NOX_HOV_MD,NOX_HOV_PM,NOX_HOV_NT,NOX_TRK_AM,NOX_TRK_MD,NOX_TRK_PM,NOX_TRK_NT,NOX_TOTAL,CO_SOV_AM,CO_SOV_MD,CO_SOV_PM,CO_SOV_NT,CO_HOV_AM,CO_HOV_MD,CO_HOV_PM,CO_HOV_NT,CO_TRK_AM,CO_TRK_MD,CO_TRK_PM,CO_TRK_NT,CO_TOTAL,CO2_SOV_AM,CO2_SOV_MD,CO2_SOV_PM,CO2_SOV_NT,CO2_HOV_AM,CO2_HOV_MD,CO2_HOV_PM,CO2_HOV_NT,CO2_TRK_AM,CO2_TRK_MD,CO2_TRK_PM,CO2_TRK_NT,CO2_TOTAL
2,ACTON,65334,140018,80404,66906,11785,46880,18752,18008,15840,31546,16417,14680,526572,1909,4642,2576,1870,347,1551,597,496,460,923,492,375,16238,5,13,7,5,1,4,2,1,4,7,4,3,56,24,53,30,25,4,18,7,7,31,62,32,27,319,145,425,269,155,26,142,63,41,54,132,77,49,1577,25104,60301,35070,25703,4551,20188,8174,6915,9914,21154,11463,8845,237381
10,ARLINGTON,74943,148996,100428,72571,14041,57914,22569,21277,14145,28347,14043,12304,581578,2612,6158,4777,1996,478,2388,1049,590,496,1146,640,345,22675,7,15,11,6,1,6,2,2,4,9,5,3,69,29,58,40,27,5,23,9,8,30,63,33,24,347,180,492,389,169,33,191,87,50,53,136,77,43,1899,31119,70836,52462,27778,5846,27599,11715,8178,9664,21899,11781,7720,286596
14,ASHLAND,42449,66698,48022,34503,7576,23561,10850,10105,9440,18057,9844,7912,289018,1415,2068,1640,864,250,732,362,250,308,526,319,194,8927,4,6,4,3,1,2,1,1,2,4,3,2,32,16,25,18,13,3,9,4,4,19,35,20,15,181,100,199,166,81,18,70,37,24,34,77,48,27,881,17229,27819,21493,13059,3062,9829,4815,3819,6259,12072,7146,4820,131423
23,BEDFORD,82945,137093,90540,85712,12637,45601,18553,21585,17433,37166,17667,20092,587024,3253,4840,3857,1949,488,1606,760,493,664,1276,706,455,20346,8,13,10,6,1,4,2,2,5,10,5,4,70,32,52,35,34,5,17,7,9,38,77,39,38,382,208,428,342,207,32,142,69,53,67,168,93,69,1878,36082,60678,45449,32234,5460,20173,9153,8140,12298,26663,14078,12117,282524
25,BELLINGHAM,86952,125147,94948,78608,14019,39861,19691,21125,24789,54207,28747,24754,612847,2553,3407,2813,1831,424,1121,610,503,699,1417,852,581,16813,7,10,8,6,1,3,2,2,6,12,7,5,69,34,48,37,30,5,15,8,8,49,105,57,46,445,207,376,322,187,34,120,67,50,87,228,137,84,1900,34554,51195,41082,29487,5611,16429,8636,7943,15811,35675,20241,14942,281606
26,BELMONT,53517,102387,61603,50860,8996,38107,15023,14611,9066,18489,9370,9535,391563,2440,4963,3144,1559,399,1845,750,444,393,898,456,288,17579,5,11,7,4,1,4,2,1,3,6,3,2,50,21,41,25,19,3,15,6,5,20,44,22,19,242,135,363,249,124,23,135,60,35,36,95,53,35,1343,23464,52586,33363,20136,3964,19555,8016,5794,6568,15558,8132,6196,203333
30,BEVERLY,67737,160787,90657,78523,12087,54041,19067,22237,19369,42460,20110,18209,605286,1782,4904,2684,1838,317,1646,563,510,494,1223,573,406,16940,5,14,8,6,1,5,2,2,4,10,5,3,63,25,60,33,29,4,20,7,8,36,83,39,33,378,147,473,294,178,26,159,62,50,62,177,91,58,1778,25349,67047,38333,29093,4507,22552,8097,8235,11553,28308,13703,10572,267348
34,BOLTON,89859,120690,100132,83631,13710,32596,18814,18927,21040,49389,24360,18909,592055,2112,2681,2402,1610,345,789,487,389,465,1014,557,363,13214,7,9,8,6,1,3,2,1,4,9,5,3,58,35,49,38,34,5,13,7,8,39,93,44,35,401,207,371,321,205,32,100,61,46,67,204,105,63,1782,33924,47867,40443,30870,5259,13116,7760,7040,12480,30873,15427,11066,256126
35,BOSTON,997535,1976735,1254832,1076589,222705,809922,336313,341211,268980,595092,284194,263493,8427602,38737,81346,55595,33768,8765,33641,14841,11010,11107,25709,12793,9380,336693,94,201,136,90,21,83,36,29,82,192,96,71,1131,385,768,493,408,86,316,133,130,608,1368,666,560,5921,2515,6592,4839,2650,566,2714,1297,848,1075,2962,1586,1022,28666,435635,943007,640114,437009,98240,388952,172037,140239,198443,477906,241053,184009,4356642
37,BOXBOROUGH,54640,73262,62443,45849,8005,18753,10894,9802,13436,30887,15523,9932,353426,1045,1436,1259,809,163,406,236,187,263,556,309,180,6849,4,6,5,3,1,1,1,1,2,5,3,2,33,22,31,24,20,3,8,4,4,25,58,28,18,244,123,231,197,117,18,59,35,25,42,128,65,34,1073,19838,28778,24374,17062,2946,7479,4326,3687,7759,19005,9508,5859,150621
