TOWN_ID,TOWN,VMT_SOV_AM,VMT_SOV_MD,VMT_SOV_PM,VMT_SOV_NT,VMT_HOV_AM,VMT_HOV_MD,VMT_HOV_PM,VMT_HOV_NT,VMT_TRK_AM,VMT_TRK_MD,VMT_TRK_PM,VMT_TRK_NT,VMT_TOTAL,VHT_SOV_AM,VHT_SOV_MD,VHT_SOV_PM,VHT_SOV_NT,VHT_HOV_AM,VHT_HOV_MD,VHT_HOV_PM,VHT_HOV_NT,VHT_TRK_AM,VHT_TRK_MD,VHT_TRK_PM,VHT_TRK_NT,VHT_TOTAL,VOC_SOV_AM,VOC_SOV_MD,VOC_SOV_PM,VOC_SOV_NT,VOC_HOV_AM,VOC_HOV_MD,VOC_HOV_PM,VOC_HOV_NT,VOC_TRK_AM,VOC_TRK_MD,VOC_TRK_PM,VOC_TRK_NT,VOC_TOTAL,NOX_SOV_AM,NOX_SOV_MD,NOX_SOV_PM,NOX_SOV_NT,NOX_HOV_AM,NOX_HOV_MD,NOX_HOV_PM,NOX_HOV_NT,NOX_TRK_AM,NOX_TRK_MD,NOX_TRK_PM,NOX_TRK_NT,NOX_TOTAL,CO_SOV_AM,CO_SOV_MD,CO_SOV_PM,CO_SOV_NT,CO_HOV_AM,CO_HOV_MD,CO_HOV_PM,CO_HOV_NT,CO_TRK_AM,CO_TRK_MD,CO_TRK_PM,CO_TRK_NT,CO_TOTAL,CO2_SOV_AM,CO2_SOV_MD,CO2_SOV_PM,CO2_SOV_NT,CO2_HOV_AM,CO2_HOV_MD,CO2_HOV_PM,CO2_HOV_NT,CO2_TRK_AM,CO2_TRK_MD,CO2_TRK_PM,CO2_TRK_NT,CO2_TOTAL
163,LYNN,78739.95878,150074.115,87495.99257,115080.1711,15122.19284,48378.40717,20111.67471,36765.16729,17402.76831,50934.13738,24347.2254,23433.48464,667885.2952,2723.641506,6110.768732,3459.842412,3249.866821,514.255932,1960.909874,781.376711,1040.668758,617.641871,2280.471514,878.25005,667.428733,24285.12291,6.964409,15.321496,8.819782,9.161809,1.315611,4.928546,2.014973,2.932759,4.654945,16.638346,6.882417,5.36752,85.002612,30.042085,58.429443,33.814875,42.49399,5.713115,18.821884,7.77336,13.591383,36.799248,118.590748,52.042324,45.396257,463.508711,198.423328,515.2771,330.571621,280.281501,37.754317,165.293914,75.205657,89.456082,66.043543,257.03133,127.922893,83.921285,2227.182571,32575.59019,71583.73374,41874.82919,44512.8501,6168.400735,23035.06562,9581.054389,14245.7474,11899.59824,41390.35253,18531.68903,14789.82917,330188.7403
164,LYNNFIELD,78840.27843,113032.3301,83945.16637,75296.63943,12873.35468,29318.01642,17443.38084,21030.72421,18056.43061,50940.67251,22446.28389,22343.17223,545566.4497,2338.61634,3041.324338,2615.397435,1675.569457,381.321829,832.285677,551.788151,479.748326,491.186629,1244.38689,658.286543,445.532808,14755.44443,6.549852,9.477828,7.63059,5.639087,1.069388,2.505974,1.600373,1.586928,4.01289,10.806074,5.537999,4.030778,60.44776,30.582813,44.127027,32.463782,29.410147,4.987378,11.373561,6.746229,8.187906,35.713157,98.449012,45.37785,40.968393,388.387256,207.265823,385.068978,324.918742,200.882676,33.596502,98.971354,67.125752,55.674072,67.573909,234.757668,116.835718,81.28883,1873.960025,31363.5558,46336.03845,37008.9788,28152.66871,5120.337988,12176.96798,7743.890081,7901.052601,11440.7573,33181.97638,15960.56253,13120.1747,249506.9613
165,MALDEN,50586.29136,64543.1364,50125.70252,50256.36444,8424.343363,20981.83733,9852.819077,15378.98662,9787.272458,29492.4451,12295.68475,14201.25087,335926.1343,1918.458604,2371.220358,1960.53804,1582.900075,316.047909,771.088969,372.831993,483.337435,361.465289,1073.629234,474.026764,454.006775,12139.55144,4.676068,6.170144,4.987431,4.215064,0.771642,2.007027,0.971852,1.292488,2.739791,8.415048,3.690424,3.525295,43.462275,19.313021,24.824377,19.149042,18.94285,3.196565,8.069545,3.762947,5.797466,21.032587,63.22527,26.951906,28.728713,242.994289,125.496543,210.570475,182.50263,126.871664,20.890908,68.466302,35.894978,38.808872,37.695014,139.714541,65.482189,53.605934,1106.000051,21637.98049,29177.26256,23735.77031,20236.86628,3577.865126,9490.967167,4635.355725,6204.425237,6837.535465,21888.90279,9669.407732,9397.634334,166489.9732
166,MANCHESTER,32538.70757,110346.1961,59760.68252,86028.85779,7549.154341,42070.28404,18853.41436,32104.53553,6271.241677,17918.27164,7859.824725,6903.446995,428204.6173,781.621932,6836.795505,3173.710581,1934.261373,179.68935,2606.187004,1010.09348,711.895943,146.045495,1068.318344,414.98098,151.843078,19015.44307,2.501969,14.310662,7.148049,6.543498,0.575235,5.450119,2.269343,2.432557,1.261879,7.479819,3.13036,1.332587,54.436079,12.737841,43.304675,22.433523,34.08625,2.942993,16.458156,7.074909,12.751608,11.93737,47.21397,19.891269,12.985674,243.818238,86.446843,410.398537,232.278057,243.269591,20.121108,155.965595,73.375391,91.225762,23.078509,96.878415,45.070197,26.37807,1504.486074,12260.82336,64548.61721,33200.12851,32392.36156,2822.076312,24590.96233,10533.99915,12061.72222,3806.271491,16744.42867,7281.699406,4172.986369,224416.0766
168,MARBLEHEAD,12328.26552,43896.70463,18710.39901,33842.44081,2159.109031,13876.68646,4329.998824,10586.03701,2811.669707,8079.552528,3510.051814,4011.281953,158142.1973,367.963776,1798.292991,659.695964,998.56183,64.375894,572.016526,151.909451,312.015481,83.420243,337.454476,118.143236,119.420037,5583.269904,0.99171,4.445187,1.75307,2.713304,0.173421,1.413802,0.409788,0.852219,0.658194,2.541591,0.941926,0.946594,17.840807,4.550069,16.993193,7.025003,12.447625,0.795443,5.389803,1.636298,3.907728,5.511091,18.267601,7.22587,7.870531,91.620255,27.502864,145.497637,65.069596,79.124702,4.81624,46.145396,15.135263,24.763425,9.608352,39.945261,17.265428,14.345252,489.219416,4798.045236,20733.48058,8437.326596,13219.99584,838.919634,6590.225063,1970.26697,4151.158435,1780.962641,6375.062177,2570.111079,2574.083183,74039.63743
170,MARLBOROUGH,160337.5334,297671.0344,193704.3156,236267.6724,28095.31114,88719.62167,49122.48736,69720.34756,39074.33465,110384.8847,52346.29742,56997.20903,1382441.049,4413.350012,11240.9331,7190.738041,6325.17343,822.57156,3536.935048,1949.345857,1935.202396,1070.1991,3362.365056,1649.105978,1371.007023,44866.9266,13.0813,29.270077,19.351557,19.325726,2.345584,8.947491,5.066226,5.75691,8.728256,26.952982,13.344711,11.776767,163.947586,63.448594,120.367664,77.537174,93.918914,11.031833,35.803164,19.669263,27.458518,78.208576,230.588355,109.075172,112.747835,979.85506,415.376736,1050.898395,772.637561,634.650366,71.941923,313.57168,196.589726,185.028158,143.786,522.644703,274.856171,218.155688,4800.137107,63195.52498,138764.3383,92588.80024,93489.58549,11227.92911,42167.48596,24083.63583,27739.75311,24980.31293,78219.79466,38374.04436,36082.46991,670913.6749
171,MARSHFIELD,40962.66356,93369.22741,54261.70568,72854.04579,8970.418353,30206.56244,15261.67341,23755.29213,6768.556523,19280.35612,8639.354986,8857.135115,383186.9915,1243.384694,3016.918896,1769.320716,2014.329649,266.660208,981.979476,498.816337,659.517967,202.55282,589.988299,276.686566,238.501403,11758.65703,3.337144,8.292397,4.959687,5.734344,0.721482,2.683825,1.387619,1.870464,1.600054,4.811058,2.262293,1.944165,39.604532,15.149282,35.054148,20.236532,26.9779,3.308294,11.304761,5.69416,8.778397,13.405298,38.90091,17.672517,17.162927,213.645126,94.902841,289.428567,187.26157,173.735948,20.604225,93.17393,52.55819,56.360722,23.884247,86.453802,42.585848,31.767465,1152.717356,16002.51898,39827.26957,24012.07946,28045.90023,3475.850389,12883.47216,6727.305717,9149.046647,4319.311571,13335.36224,6260.971079,5563.253221,169602.3413
174,MAYNARD,17768.98003,39585.4772,22062.6888,40687.5733,3851.776984,13192.24941,6536.84757,13637.40476,3296.837444,9391.853223,3888.911158,4290.550757,178191.1506,579.440341,1478.663334,808.223408,1237.48381,125.203266,494.068349,241.936097,414.333918,105.914566,335.120044,140.99073,128.217189,6089.595053,1.495346,3.802036,2.153842,3.343191,0.324155,1.268899,0.640174,1.119389,0.820567,2.596343,1.111328,1.022096,19.697367,6.523042,15.068429,8.390843,14.850359,1.415592,5.0248,2.488744,4.973087,6.63714,19.786079,8.278189,8.438464,101.874768,41.057311,126.222616,79.059067,97.082801,8.886356,42.115273,23.493149,32.528456,11.711609,42.990174,19.919938,15.43486,540.501608,7057.444121,17885.09596,10244.48045,16036.39745,1530.520366,5966.662962,3042.617195,5369.388547,2143.970762,6839.918439,2955.16103,2754.966336,81826.62362
175,MEDFIELD,36307.90471,92192.77654,52133.50103,70607.98951,8137.882101,32019.85824,16028.76365,24368.09706,4588.13227,13097.67792,6562.084877,5387.719895,361432.3878,1326.775172,3756.283804,2117.37932,2228.430933,288.378893,1300.494422,652.396636,768.093195,160.316603,528.323007,284.050754,169.343254,13580.26599,3.300734,9.337511,5.427118,5.903271,0.725758,3.235826,1.664411,2.032996,1.229334,4.050759,2.167204,1.331738,40.406661,13.70508,35.643443,20.249203,25.785234,3.055297,12.368124,6.218411,8.89258,9.635631,29.310648,15.148761,10.80323,190.81564,88.416143,306.882039,195.119129,170.628957,19.528128,106.419467,59.920446,58.805042,17.117195,64.437855,36.657018,19.934146,1143.865566,15258.32901,43393.57866,25491.80575,28010.73027,3373.060568,15043.22527,7820.148382,9652.999895,3119.42133,10202.68271,5473.476621,3523.468054,170362.9265
176,MEDFORD,165399.6846,202464.1541,154893.4472,160907.9106,28888.70044,57264.52926,32001.96392,47947.37681,38544.98298,111049.373,40026.92657,51856.40769,1091245.457,5404.718365,5600.807092,4802.040097,3526.16743,908.118204,1603.089794,927.249733,1049.284095,1218.180338,3098.452123,1249.039487,1172.31688,30559.46364,14.253032,17.229663,13.967949,12.243606,2.459023,4.900409,2.820973,3.644322,9.632689,26.165863,10.287183,10.202333,127.807045,63.010266,79.283509,59.582129,65.212676,11.052903,22.425999,12.392033,19.397317,79.856833,223.07788,82.5409,100.553981,818.386426,425.059835,696.819997,587.812345,442.105989,74.54218,196.568198,122.335074,131.335779,147.64231,524.979558,207.756422,195.622278,3752.579967,67512.55747,84073.11197,67985.5958,61189.28425,11700.91319,23879.37621,13815.06503,18220.37022,25688.53338,75937.13443,29088.73502,32181.93986,511272.6168
